response(b/k),content,content-type,choices(space_split),choice_type,duration(ms),correct(0~),trial/test/fix/result,feedback,feedback_type,true_content,false_content,feedback_duration(ms)
b,img/cardsorting/star1blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle1blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star2red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle2red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle2yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle4green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle4green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle3green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross3green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross4green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle1green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross1blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle3red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle2blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle4yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star2blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star4green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star4blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross3red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle4red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross1red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle3blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross2green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle1blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle1red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle4blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross4yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross3yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross2red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle3blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle4yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star1yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle4red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle3red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross1yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle1green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross2yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle2blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star3green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle3green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross4blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star4red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross4red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star2green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross2blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle2green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,1,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle3yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle4blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle2red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star3blue.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star3yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle1yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/triangle3yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/star3red.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,0,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/circle2yellow.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,3,test,y,image,img/correct.png,img/wrong.png,2000
b,img/cardsorting/cross1green.png,image,img/cardsorting/circle1red.png img/cardsorting/triangle2green.png img/cardsorting/cross3blue.png img/cardsorting/star4yellow.png,image,,2,test,y,image,img/correct.png,img/wrong.png,2000
k,,,,,5000,,result,n,,,,
